tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated
1336977735152005121,"Wind 5,9 km/h SE. Barometer 1009,0 hPa, Rising slowly. Temperature 2,1 °C. Rain today 0,0mm. Humidity 98%",0,0,Sandaysoft Cumulus,2020-12-10 10:15:06
1336977735130890240,RT @Baltej_hoops: All ill say is that it's best to not engage in discussions with people who still don't recognize Steph for what he's done…,14,0,Twitter for Android,2020-12-10 10:15:06
1336977735080701952,RT @lilbaby4PF: Let my good outweigh my bad an keep pushing !,22486,0,Twitter for iPhone,2020-12-10 10:15:06
1336977735068086273,"@calmurnerves @Victor_Akanz @Dennis_N_Amy When something ill is said about you, your friends or people around you e… https://t.co/4kFt3Z7oeS",0,0,Twitter for Android,2020-12-10 10:15:06
1336977735063904256,RT @faawzia__: NC nightlife not even that good for y’all to be mad like this.,3613,0,Twitter for iPhone,2020-12-10 10:15:06
1336977735030349824,RT @bambooney: this is so fucking funny https://t.co/SBgVX1u9k4,882,0,Twitter for Android,2020-12-10 10:15:06
1336977735000920066,"@KEMO_HUNZ @WSJ_manga Yeah, ""so far"" is the key word. They've been doing it forever and now they're punished. Blami… https://t.co/53RvzdImJN",0,0,Twitter Web App,2020-12-10 10:15:06
1336977734996660226,RT @dahyunnator: Dahyun looks so cool 😳😍🤍 https://t.co/YYG11yHVtw,64,0,Twitter for iPhone,2020-12-10 10:15:06
1336977734988410882,RT @DABISTOES: only hot people are failing at least one class,49,0,Twitter for Android,2020-12-10 10:15:06
1336977734988390400,"RT @CalebPirtle: They took away his memory.
They erased his fear.
He’s not afraid to die.
That’s why he was sent to find the secrets of the…",8,0,Twitter Web App,2020-12-10 10:15:06
1336977734988337152,RT @creasy1367: FOLLOW ME and all Likes ❤️💫!!!,19,0,Twitter for Android,2020-12-10 10:15:06
1336977734984069122,RT @thespecialbka: It suits rich people to believe that unemployed people are lazy.,25,0,Twitter for iPad,2020-12-10 10:15:06
1336977734975672321,RT @agaurha25: Human Rights Day Meerut: Hindu caretaker of a Shiv Temple beaten to death after he protested against remarks on his saffron…,1,0,Twitter for Android,2020-12-10 10:15:06
1336977734971633664,"RT @The_LHoFT: The @UNCDFdigital panel on #SMEs resilience through #Fintech #Innovation at #SGFinTechFest started 

🚀@naszub #LHoFT CEO ins…",7,0,Twitter for iPhone,2020-12-10 10:15:06
1336977734971559936,Blow for Man City's transfer plans as Barcelona president hopeful says Messi WILL sign new deal if he's elected https://t.co/1IgfQ2s3RY,0,0,SocialFlow,2020-12-10 10:15:06
1336977734971486208,"RT @DHFMNC25: Idea ad HQ still 🔥

#SarkaruVaariPaata @urstrulyMahesh https://t.co/QfMAh0b5RQ",125,0,Twitter for Android,2020-12-10 10:15:06
1336977734967439360,Financial Pages in Spain in association with CURRENCY UK offer INTERNATIONAL money transfers… https://t.co/PYRHoOsCbh,0,0,Hootsuite Inc.,2020-12-10 10:15:06
