tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated
1338548709395755010,"@monaeltahawy Weird that a vocal transphobe would be a misogynist. No wait, it's not because they always are.",0,0,Twitter Web App,2020-12-14 18:17:36
1338548709391470594,"RT @SRuhle: Democracy Wins
@realDonaldTrump loses",130,0,Twitter for iPhone,2020-12-14 18:17:36
1338548709391470593,@Ranzrik @NSG_Digital are the people to reach out to. Hopefully they can help.,0,0,Twitter Web App,2020-12-14 18:17:36
1338548709387358210,Bts harmonizing effortlessly WHEW,0,0,Twitter for iPhone,2020-12-14 18:17:36
1338548709387329536,"@MrBamBoo_teach Union. ACAS. If they have never said anything before, they are massively at fault here. I’m also pr… https://t.co/CSGjtsVXEJ",0,0,Twitter for iPhone,2020-12-14 18:17:36
1338548709387284480,RT @imREALLYtheGOAT: Can’t wait to get real FINE again COMING SOON 😍😛,1,0,Twitter for iPhone,2020-12-14 18:17:36
1338548709387210754,@PsychologyDoc In our language #Telugu too..!!😊,0,0,Twitter for Android,2020-12-14 18:17:36
1338548709383090177,"RT @thunder_io: Introducing Footlocker EU!

After a very successful testing phase, we are more than confident to release this, amongst othe…",2013,0,Twitter Web App,2020-12-14 18:17:36
1338548709378895875,"if junghwan not baby why baby sized 

#비디씨 #김시훈 #홍성준 #윤정환 
#BOYSDACAPO #BDC #피네 https://t.co/VfkrcuZ6Mu",0,0,Twitter Web App,2020-12-14 18:17:36
1338548709374763009,Buy Now from Amazon &gt; https://t.co/krlYgUcQML https://t.co/vCrjkSqE2Y,0,0,automotivepost19,2020-12-14 18:17:36
1338548709362200576,"RT @1DGAlNS: ❀ retweet if you stan one direction 
❀ follow me + everyone who retweets
@ONEDIRECTGAINS + @caarlamoontoya  + @91NEWANGEL
❀ re…",47,0,Twitter for iPhone,2020-12-14 18:17:36
1338548709362196480,RT @icantunseeit: .@RepublicRecords @taylornation13 @treepaine There is no point of keeping the “lead single” on the #1 for few days. If ot…,22,0,Twitter for Android,2020-12-14 18:17:36
1338548709349593088,he so underrated. Bro played dline and running back. Big fella be making cuts like Marshawn lynch in his prime no c… https://t.co/TR5DNFhPyq,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709345304576,"RT @joncoopertweets: Who else is outraged that high-ranking White House officials, who spent months refusing to wear masks and long support…",6971,0,Twitter Web App,2020-12-14 18:17:35
1338548709341208577,what the fuck why do i look like this https://t.co/7zy0sIdSB5,0,0,Twitter Web App,2020-12-14 18:17:35
1338548709341208576,NOT THEM PRIVATING THE VIDEO WHILE I WAS WATCHING https://t.co/7K4nImYzsg,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709341057024,RT @yubincheeks: wow I'm proud of you yubin 🥺,1,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709328613377,oh my god i want sayonara tattooed on my collarbone .,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709328609283,RT @DoeBoyOfficial: Ain’t gone force nobody to do nun... it is what it is,418,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709328445441,@MowtenDoo this why influencers get paid the big bux,0,0,Twitter for Android,2020-12-14 18:17:35
1338548709324431368,RT @bass_louix: @meek_caroline @NickHudsonCT Observing which side the social media giants are taking should be enough for common ppl to rea…,2,0,Twitter for Android,2020-12-14 18:17:35
1338548709324431365,@KxngSF @kh7Ied @tactic_fanatic @NG_________ Bro I felt so empty after that,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709324427275,"RT @leeeennss: If I’m fucking you, you’re the only one I’m fucking",3068,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709324275713,"RT @GMx___: I made some changes in my life, don't regret none of them, so if you ain't heard from me then you're probably one of them",74,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709320167429,I would hate to be 25+ &amp; bitter/miserable,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709315919873,"RT @LadyM_07: Not perfection, but progress at least.",11,0,Twitter for Android,2020-12-14 18:17:35
1338548709311860741,"Get to the point sir, we’re anxious.",0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709311848448,"RT @AdoptionsUk: Please retweet to help Bonnie find a home #WILTSHIRE 🇬🇧

Affectionate Lurcher aged 10, looking for quiet adult home as onl…",134,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709311844352,RT @JoeBiden: Stay hopeful — brighter days lie ahead.,3813,0,Twitter for iPad,2020-12-14 18:17:35
1338548709303455744,@Jurko64 @CarmenDeFalco White with queen,0,0,Twitter for iPad,2020-12-14 18:17:35
1338548709303443461,RT @uhpromise: “she’s just a friend” ok so punch her,498,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709303279616,RT @A5AMI5ATO: s(hes) bro(ken) https://t.co/x0gEMybr3y,10225,0,Twitter for Android,2020-12-14 18:17:35
1338548709299286017,Hi @fkabudu please I need your help 😪,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709295001600,RT @Natural_OneDurr: Joe biden really sat on a zoom call and told our elders he the realest nigga in there and none of our ancestor's wilde…,44,0,Twitter for Android,2020-12-14 18:17:35
1338548709294895104,i should try being here more tomorrow. goodnight babies in the timeline. ( ◜‿◝ )♡,0,0,Twitter for Android,2020-12-14 18:17:35
1338548709290889217,it b like that https://t.co/4kF7R4p1iq,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709286694912,@OlaseniOladejo 133k monthly for something you'll still do for free..........,0,0,Twitter for Android,2020-12-14 18:17:35
1338548709286621188,"RT @madebygoogle: Ready to host some holiday cheer? Here’s a few tips to keep your holiday group video call running smoothly:

🏃‍♂️ Run an…",1,0,Jacobus Systems 1,2020-12-14 18:17:35
1338548709286621186,We do! https://t.co/gDNgBBHB0f,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709286526977,"RT @redbylo: Someone said, “Anger is sadness that had nowhere to go for a very long time” and I’ll never forget it.",22729,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709278310400,"""We can do it again.""😭😭😭",0,0,Twitter for Android,2020-12-14 18:17:35
1338548709278195712,Make politics cool again 😎 https://t.co/SmXhHr9bEV,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709274038274,@IunaticoFeliz SCAM!!!,0,0,Twitter for Android,2020-12-14 18:17:35
1338548709261533185,#Pisces when you stop denying the parts of you that need healing you will reach your maximum potential #growth #astro #astrology,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709257310211,"Why is Kyle there?
#yr",0,0,Twitter for Android,2020-12-14 18:17:35
1338548709253111810,RT @Ohemmaaaa: Wanna be babied,2,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709248937985,RT @YourMarkLubbers: Use hashtag #PardonAssange and tell the world that this innocent journalist Julian Assange deserves to be free. He is…,10,0,Twitter for Android,2020-12-14 18:17:35
1338548709248872449,RT @silentlyuncut: yall in a frenzy over trail mix losing a member https://t.co/EToD2pbGZs,7,0,Twitter for Android,2020-12-14 18:17:35
1338548709248864263,Rolling in 1h https://t.co/w3leTgc74a,0,0,Twitter Web App,2020-12-14 18:17:35
1338548709240549376,"RT @RosebellK: Artists came all the way from Nigeria, someone who knows someone organised that concert. It shows the system is rotten and l…",29,0,Twitter for Android,2020-12-14 18:17:35
1338548709227945984,RT @resolutionroute: this game has mizuki okiura so you all should buy it now,7,0,Twitter for Android,2020-12-14 18:17:35
1338548709223698432,RT @nengi_royals: My queen #NengiInPHCity,44,0,Twitter for Android,2020-12-14 18:17:35
1338548709219586049,"@bdomenech @JohnBrennan 😂😂😂 Oh that's brilliant! Well done. That's my laugh for the day.

Yup, because that's how i… https://t.co/97jwaSAr6x",0,0,Twitter Web App,2020-12-14 18:17:35
1338548709219561473,@Skieborne I kinda wonder if it's like some sort of localized thing only in a small area? I have no clue! Its super odd,0,0,Twitter for Android,2020-12-14 18:17:35
1338548709215281153,"Report this tweet for lying about election outcomes. Stacey Abrams conceded 10 days after the election in 2018.

Yo… https://t.co/wkkfpFLk5S",0,0,Twitter Web App,2020-12-14 18:17:35
1338548709206986763,Instagram is a lost cause but I hope the antitrust lawsuit makes FB give up Giphy.,0,0,Twitter Web App,2020-12-14 18:17:35
1338548709206978561,I haven’t seen my family since before thanksgiving. That’s sick ..,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709206892544,RT @WaterWired: Water &amp; Tribes Initiative Virtual Luncheon: 'Universal Access to Clean Water' 16 Dec. 12-1:30 PM MST. https://t.co/B5AhVOgX…,1,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709202735104,@Flattielover @kent_nye @_Kel_Varnsen_ @QDecoder @ziggystardad @GOPkleptocrat @JoeLargo @ahrehead @ToberLana… https://t.co/UXHKPbQkyl,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709202726913,According to the IMARC Group #Plant #based #food refers to several food products obtained from natural ingredients… https://t.co/L1l11mwMBX,0,0,Twitter Web App,2020-12-14 18:17:35
1338548709198540803,"RT @GovMurphy: Tomorrow is a big day.

It is a day for honoring the brave health care workers who have been putting in long, fraught hours…",1,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709198479364,@TheTowelBoy Will this make it more difficult for you to pay your bills?,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709190234114,She said yes! https://t.co/hIdkNYOnQA,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709190230019,"RT @DanaWinterTV: THE WAIT IS OVER!!

#HalfLife is BACK! (And @ewelch9 is excited)

“Set between the events of Half-Life and Half-Life 2, A…",3,0,Twitter for iPad,2020-12-14 18:17:35
1338548709190201345,RT @dawskintist: history repeats https://t.co/GbJjhatpAF,21771,0,Twitter for Android,2020-12-14 18:17:35
1338548709181845505,@de_mola100 Make I send mine😉,0,0,Twitter for Android,2020-12-14 18:17:35
1338548709181837319,LONDON IS GOING INTO TIER 3 LOCKDOWN????,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709173440516,@jayygayysbyy oh my goodness i loove them 🥺🥺💖💕💖💖💖💕 i would love a hug from her!,0,0,Twitter for Android,2020-12-14 18:17:35
1338548709169262593,"Rewriting chapter 7, it will be in two parts.  It's the longest chapter ... for now.",0,0,Twitter for Android,2020-12-14 18:17:35
1338548709160873986,"So touching,sorry for the souls https://t.co/1WuHsrGPxj",0,0,Twitter Web App,2020-12-14 18:17:35
1338548709152464896,Yeah so this is the last social media i have downloaded and for my mentality i am going to be inactive until early… https://t.co/1MDSYbGjJW,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709152452609,@IamChadBanks You do know #RHOP was shot last year before all this craziness start happening and #RHOA was shot thi… https://t.co/XzYpM0SAGI,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709152395264,@GovofCO @CDPHE Babe! You had better have tested negative before touching the vaccines!,0,0,Twitter Web App,2020-12-14 18:17:35
1338548709152358401,"In a historic day for the fossil fuel divestment movement, New York just announced plans to become the first state… https://t.co/63IlKlYh1o",0,0,Twitter Web App,2020-12-14 18:17:35
1338548709148270615,"RT @nottco: Happy Birthday to Jane Birkin , 74  years old today 14th December, 

Loads of pics of @JaneBirkinOff  and cars, I'll  start wit…",10,0,Twitter for Android,2020-12-14 18:17:35
1338548709148209152,German auditors supervisory boss leaves over Wirecard share deals https://t.co/dYjjCxO9Ws #news https://t.co/5XpoP9lb5W,0,0,Twibble.io,2020-12-14 18:17:35
1338548709144092681,@_DomCartier Ed don’t owe me nothing,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709139869697,Only the real had Starburys @jackharlow,0,39,Twitter Web App,2020-12-14 18:17:35
1338548709135564800,Janghyuk was feeling lonely so soyou sang a song for him. He was so cute and he even asked for an encore 😂😂 https://t.co/wPNWvQ4Lwc,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709131497474,RT @itstrinavb: If you wear socks to sleep I can’t trust you,20,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709131476994,pokes @Cxpy_Cat arm,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709131386880,"Then SPD came back with, ""we're currently working on writing the warrants and it'll take a few hours..."" They conti… https://t.co/T3mXYV5tHs",0,0,Twitter for Android,2020-12-14 18:17:35
1338548709114712065,@BenShacter @CBSThisMorning @benstracy @JoeBiden @BarackObama @MichelleObama Stop using Google as your only search… https://t.co/br6novVi5e,0,0,Twitter for Android,2020-12-14 18:17:35
1338548709110517763,RT @mayaharris_: Just watched @HillaryClinton cast her electoral vote for @KamalaHarris...😭,1458,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709110517762,RT @helpsavebrandon: #BrandonBernard had been expressing his remorse for his accomplice role in the crime since 1999. He never stopped maki…,28,0,Twitter for Android,2020-12-14 18:17:35
1338548709106327554,RT @tracybeanz: Michigan corruption on full display.,267,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709106323461,@AlexGoldberg_ @CFCMod_ I totally agree with this tweet. The lad was just off in the weekend (sh*t happens). I'm su… https://t.co/7bXnDG0lc0,0,0,Twitter Web App,2020-12-14 18:17:35
1338548709106311179,We’ve been here before and we can do it again 😭,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709097951235,"When Zayn and Gigi had their gender reveal and got to know they’re having a baby girl🥺💗
I will thank Yolanda for th… https://t.co/ukTZtBJafz",0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709097938945,RT @ministarfruit: supporting creators is my passion but here’s a special shoutout to fic writers!! I’m starting an artist/author solidarit…,259,0,Twitter Web App,2020-12-14 18:17:35
1338548709097877506,@emilee_juarez Hey pretty dm me ASAP for sugar daddy,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709093765123,@SlurpiSwamp @FNCreate What,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709089546245,RT @MokateTshegoo: Not 2000s catching smoke 🤣,1,0,Twitter for Android,2020-12-14 18:17:35
1338548709089427456,@ANSWERINSP4DES IT WENT FROM 225 TO 228 HOW,0,0,Twitter for Android,2020-12-14 18:17:35
1338548709085356047,RT @it_meirl_bot: Me_irl https://t.co/IOzUDmNFcL https://t.co/6aueVthgjg,10,0,Twitter for Android,2020-12-14 18:17:35
1338548709085171716,"@itsaddis I went for hair ribbons, myself",0,0,Twitter for Android,2020-12-14 18:17:35
1338548709076783104,"RT @zara_ic41: @NovelastvOff One of the bestest actor of Turkey. ❤️

#İbrahimÇelikkol
#Merhamet #lombredupassé https://t.co/O1cshDhA0v",1,0,Twitter for Android,2020-12-14 18:17:35
1338548709072760832,@sherrigulleymo1 @PlaceforModels @exxxcitement @exemplargirls @Hotwomenpromo @Fitfan123 @FbsOriginal Your Beautiful… https://t.co/M0q0gKkYxs,0,0,Twitter for Android,2020-12-14 18:17:35
1338548709068574727,"RT @charts_k: BTS explain ""Life Goes On"" Official Lyrics &amp; Meaning on Verified with @Genius @Genius_kor 

#BTSonVERIFIED #LifeGoesOn_VERIFI…",2194,0,Twitter for Android,2020-12-14 18:17:35
1338548709060128769,@YourFellowArab Diamondlover156,0,0,Twitter Web App,2020-12-14 18:17:35
1338548709060128768,"RT @OnceTees: ""Where the Old Gods Are"" is available for $13 this week only!

Shop now only at https://t.co/xbJt1cjg27!

Follow, Like, &amp; RT…",20,0,Twitter Web App,2020-12-14 18:17:35
1338548709060009984,RT @SoundCloud: Jungkook of @BTS_twt broke hearts and broke records this year with us! 📈👏 https://t.co/Oo5eet6q1v,6220,0,Twitter for Android,2020-12-14 18:17:35
1338548709055983620,"RT @angelxrios: If your circle dont motivate you, you in the wrong one",11776,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709055897601,RT @Rothbard1776: BREAKING: @SidneyPowell1 “I’ve been given a massive quantity of data from CA in 2016 that shows it [election fraud] happe…,14781,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709051801600,"RT @2Moori: SUA saying the last susiji live, they did it on the backside of that red cloth on the back~

🐰: That elephant incident~

🐺: ah.…",50,0,Twitter for Android,2020-12-14 18:17:35
1338548709051785217,@annalisedior U would think his dads white,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709051731968,"RT @PleaseBeGneiss: brain: did we get anything done this weekend?

me: no

brain: ok then at least we relaxed

me: somehow also no",47588,0,Twitter for Android,2020-12-14 18:17:35
1338548709047537668,@Amber74475618 @staycation0325 @Soobamgyu_ @taesh0ok @sebyul wait the tweet is unavailable😭😭,0,2,Twitter for iPhone,2020-12-14 18:17:35
1338548709043400704,"RT @SNLQS: can we all just agree?

#SANA #사나 #サナ #TWICE #트와이스 @JYPETWICE https://t.co/JtlIIxpOG6",607,0,Twitter for Android,2020-12-14 18:17:35
1338548709034917888,"It’s an incredible thing, to be so disillusioned with the human race, but also acutely aware that even the most ann… https://t.co/0LEezITFOF",0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709034881025,@perra_mon Qloo,0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709034848256,"Tfw you realize your parents Pluto is conjunct your moon.

(Yes this will forever be my favorite gif 💙 WeeBey) https://t.co/nfQxSR4qSq",0,0,Twitter for iPhone,2020-12-14 18:17:35
1338548709030768646,"RT @right2_learn: FE made me a better person
Why #Right2Learn is vital",2,0,Twitter for iPad,2020-12-14 18:17:35
